全角,和暦,辞書用よみ,西暦,和暦元号,和暦（読み）,年（半）,年（全）,十子,読み,十二支,読み,時代区分,備考
６３７,舒明天皇（諡号）9,じょめいてんのう９,637,舒明天皇（諡号）,じょめいてんのう,9,９,丁,ひのと,酉,とり,,
６３８,舒明天皇（諡号）10,じょめいてんのう１０,638,舒明天皇（諡号）,じょめいてんのう,10,１０,戊,つちのえ,戌,いぬ,,
６３９,舒明天皇（諡号）11,じょめいてんのう１１,639,舒明天皇（諡号）,じょめいてんのう,11,１１,己,つちのと,亥,いのしし,,
６４０,舒明天皇（諡号）12,じょめいてんのう１２,640,舒明天皇（諡号）,じょめいてんのう,12,１２,庚,かのえ,子,ねずみ,,
６４１,舒明天皇（諡号）13,じょめいてんのう１３,641,舒明天皇（諡号）,じょめいてんのう,13,１３,辛,かのと,丑,うし,,
６４２,舒明天皇（諡号）14,じょめいてんのう１４,642,舒明天皇（諡号）,じょめいてんのう,14,１４,壬,みずのえ,寅,とら,0,
６４２,皇極天皇（諡号）1,こうぎょくてんのう１,642,皇極天皇（諡号）,こうぎょくてんのう,1,１,壬,みずのえ,寅,とら,0,
６４３,皇極天皇（諡号）2,こうぎょくてんのう２,643,皇極天皇（諡号）,こうぎょくてんのう,2,２,癸,みずのと,卯,うさぎ,,
６４４,皇極天皇（諡号）3,こうぎょくてんのう３,644,皇極天皇（諡号）,こうぎょくてんのう,3,３,甲,きのえ,辰,たつ,,
６４５,皇極天皇（諡号）4,こうぎょくてんのう４,645,皇極天皇（諡号）,こうぎょくてんのう,4,４,乙,きのと,巳,へび,0,大化革新
６４５,大化1,たいか１,645,大化,たいか,1,１,乙,きのと,巳,へび,0,大化革新
６４６,大化2,たいか２,646,大化,たいか,2,２,丙,ひのえ,午,うま,,
６４７,大化3,たいか３,647,大化,たいか,3,３,丁,ひのと,未,ひつじ,,
６４８,大化4,たいか４,648,大化,たいか,4,４,戊,つちのえ,申,さる,,
６４９,大化5,たいか５,649,大化,たいか,5,５,己,つちのと,酉,とり,,藤原京遷都
６５０,大化6,たいか６,650,大化,たいか,6,６,庚,かのえ,戌,いぬ,0,
６５０,白雉1,はくち１,650,白雉,はくち,1,１,庚,かのえ,戌,いぬ,0,
６５１,白雉2,はくち２,651,白雉,はくち,2,２,辛,かのと,亥,いのしし,,
６５２,白雉3,はくち３,652,白雉,はくち,3,３,壬,みずのえ,子,ねずみ,,
６５３,白雉4,はくち４,653,白雉,はくち,4,４,癸,みずのと,丑,うし,,
６５４,白雉5,はくち５,654,白雉,はくち,5,５,甲,きのえ,寅,とら,,
６５５,白雉6,はくち６,655,白雉,はくち,6,６,乙,きのと,卯,うさぎ,0,
６５５,斉明天皇（諡号）1,さいめいてんのう１,655,斉明天皇（諡号）,さいめいてんのう,1,１,乙,きのと,卯,うさぎ,0,
６５６,斉明天皇（諡号）2,さいめいてんのう２,656,斉明天皇（諡号）,さいめいてんのう,2,２,丙,ひのえ,辰,たつ,,
６５７,斉明天皇（諡号）3,さいめいてんのう３,657,斉明天皇（諡号）,さいめいてんのう,3,３,丁,ひのと,巳,へび,,
６５８,斉明天皇（諡号）4,さいめいてんのう４,658,斉明天皇（諡号）,さいめいてんのう,4,４,戊,つちのえ,午,うま,,
６５９,斉明天皇（諡号）5,さいめいてんのう５,659,斉明天皇（諡号）,さいめいてんのう,5,５,己,つちのと,未,ひつじ,,
６６０,斉明天皇（諡号）6,さいめいてんのう６,660,斉明天皇（諡号）,さいめいてんのう,6,６,庚,かのえ,申,さる,,
６６１,斉明天皇（諡号）7,さいめいてんのう７,661,斉明天皇（諡号）,さいめいてんのう,7,７,辛,かのと,酉,とり,,
６６２,斉明天皇（諡号）8,さいめいてんのう８,662,斉明天皇（諡号）,さいめいてんのう,8,８,壬,みずのえ,戌,いぬ,0,
６６２,天智天皇（諡号）1,てんちてんのう１,662,天智天皇（諡号）,てんちてんのう,1,１,壬,みずのえ,戌,いぬ,0,
