全角,和暦,辞書用よみ,西暦,和暦元号,和暦（読み）,年（半）,年（全）,十子,読み,十二支,読み,時代区分,備考
９４０,天慶3,てんきょう３,940,天慶,てんきょう,3,３,庚,かのえ,子,ねずみ,,
９４１,天慶4,てんきょう４,941,天慶,てんきょう,4,４,辛,かのと,丑,うし,,
９４２,天慶5,てんきょう５,942,天慶,てんきょう,5,５,壬,みずのえ,寅,とら,,
９４３,天慶6,てんきょう６,943,天慶,てんきょう,6,６,癸,みずのと,卯,うさぎ,,
９４４,天慶7,てんきょう７,944,天慶,てんきょう,7,７,甲,きのえ,辰,たつ,,
９４５,天慶8,てんきょう８,945,天慶,てんきょう,8,８,乙,きのと,巳,へび,,
９４６,天慶9,てんきょう９,946,天慶,てんきょう,9,９,丙,ひのえ,午,うま,,
９４７,天慶10,てんきょう１０,947,天慶,てんきょう,10,１０,丁,ひのと,未,ひつじ,0,
９４７,天暦1,てんりゃく１,947,天暦,てんりゃく,1,１,丁,ひのと,未,ひつじ,0,
９４８,天暦2,てんりゃく２,948,天暦,てんりゃく,2,２,戊,つちのえ,申,さる,,
９４９,天暦3,てんりゃく３,949,天暦,てんりゃく,3,３,己,つちのと,酉,とり,,
９５０,天暦4,てんりゃく４,950,天暦,てんりゃく,4,４,庚,かのえ,戌,いぬ,,
９５１,天暦5,てんりゃく５,951,天暦,てんりゃく,5,５,辛,かのと,亥,いのしし,,
９５２,天暦6,てんりゃく６,952,天暦,てんりゃく,6,６,壬,みずのえ,子,ねずみ,,
９５３,天暦7,てんりゃく７,953,天暦,てんりゃく,7,７,癸,みずのと,丑,うし,,
９５４,天暦8,てんりゃく８,954,天暦,てんりゃく,8,８,甲,きのえ,寅,とら,,
９５５,天暦9,てんりゃく９,955,天暦,てんりゃく,9,９,乙,きのと,卯,うさぎ,,
９５６,天暦10,てんりゃく１０,956,天暦,てんりゃく,10,１０,丙,ひのえ,辰,たつ,,
９５７,天暦11,てんりゃく１１,957,天暦,てんりゃく,11,１１,丁,ひのと,巳,へび,0,
９５７,天徳1,てんとく１,957,天徳,てんとく,1,１,丁,ひのと,巳,へび,0,
９５８,天徳2,てんとく２,958,天徳,てんとく,2,２,戊,つちのえ,午,うま,,
９５９,天徳3,てんとく３,959,天徳,てんとく,3,３,己,つちのと,未,ひつじ,,
９６０,天徳4,てんとく４,960,天徳,てんとく,4,４,庚,かのえ,申,さる,,
９６１,天徳5,てんとく５,961,天徳,てんとく,5,５,辛,かのと,酉,とり,0,
９６１,応和1,おうわ１,961,応和,おうわ,1,１,辛,かのと,酉,とり,0,
９６２,応和2,おうわ２,962,応和,おうわ,2,２,壬,みずのえ,戌,いぬ,,
９６３,応和3,おうわ３,963,応和,おうわ,3,３,癸,みずのと,亥,いのしし,,
９６４,応和4,おうわ４,964,応和,おうわ,4,４,甲,きのえ,子,ねずみ,0,
９６４,康保1,こうほう１,964,康保,こうほう,1,１,甲,きのえ,子,ねずみ,0,
９６５,康保2,こうほう２,965,康保,こうほう,2,２,乙,きのと,丑,うし,,
９６６,康保3,こうほう３,966,康保,こうほう,3,３,丙,ひのえ,寅,とら,,
９６７,康保4,こうほう４,967,康保,こうほう,4,４,丁,ひのと,卯,うさぎ,,
９６８,康保5,こうほう５,968,康保,こうほう,5,５,戊,つちのえ,辰,たつ,0,
９６８,安和1,あんな１,968,安和,あんな,1,１,戊,つちのえ,辰,たつ,0,
９６９,安和2,あんな２,969,安和,あんな,2,２,己,つちのと,巳,へび,,
９７０,安和3,あんな３,970,安和,あんな,3,３,庚,かのえ,午,うま,0,
９７０,天禄1,てんろく１,970,天禄,てんろく,1,１,庚,かのえ,午,うま,0,
９７１,天禄2,てんろく２,971,天禄,てんろく,2,２,辛,かのと,未,ひつじ,,
９７２,天禄3,てんろく３,972,天禄,てんろく,3,３,壬,みずのえ,申,さる,,
９７３,天禄4,てんろく４,973,天禄,てんろく,4,４,癸,みずのと,酉,とり,0,
９７３,天延1,てんえん１,973,天延,てんえん,1,１,癸,みずのと,酉,とり,0,
９７４,天延2,てんえん２,974,天延,てんえん,2,２,甲,きのえ,戌,いぬ,,
９７５,天延3,てんえん３,975,天延,てんえん,3,３,乙,きのと,亥,いのしし,,
９７６,天延4,てんえん４,976,天延,てんえん,4,４,丙,ひのえ,子,ねずみ,0,
９７６,貞元1,じょうげん１,976,貞元,じょうげん,1,１,丙,ひのえ,子,ねずみ,0,
９７７,貞元2,じょうげん２,977,貞元,じょうげん,2,２,丁,ひのと,丑,うし,,
９７８,貞元3,じょうげん３,978,貞元,じょうげん,3,３,戊,つちのえ,寅,とら,0,
９７８,天元1,てんげん１,978,天元,てんげん,1,１,戊,つちのえ,寅,とら,0,
９７９,天元2,てんげん２,979,天元,てんげん,2,２,己,つちのと,卯,うさぎ,,
９８０,天元3,てんげん３,980,天元,てんげん,3,３,庚,かのえ,辰,たつ,,
９８１,天元4,てんげん４,981,天元,てんげん,4,４,辛,かのと,巳,へび,,
９８２,天元5,てんげん５,982,天元,てんげん,5,５,壬,みずのえ,午,うま,,
９８３,天元6,てんげん６,983,天元,てんげん,6,６,癸,みずのと,未,ひつじ,0,
９８３,永観1,えいかん１,983,永観,えいかん,1,１,癸,みずのと,未,ひつじ,0,
９８４,永観2,えいかん２,984,永観,えいかん,2,２,甲,きのえ,申,さる,,
９８５,永観3,えいかん３,985,永観,えいかん,3,３,乙,きのと,酉,とり,0,
９８５,寛和1,かんな１,985,寛和,かんな,1,１,乙,きのと,酉,とり,0,
９８６,寛和2,かんな２,986,寛和,かんな,2,２,丙,ひのえ,戌,いぬ,,
９８７,寛和3,かんな３,987,寛和,かんな,3,３,丁,ひのと,亥,いのしし,0,
９８７,永延1,えいえん１,987,永延,えいえん,1,１,丁,ひのと,亥,いのしし,0,
９８８,永延2,えいえん２,988,永延,えいえん,2,２,戊,つちのえ,子,ねずみ,,
９８９,永延3,えいえん３,989,永延,えいえん,3,３,己,つちのと,丑,うし,0,
９８９,永祚1,えいそ１,989,永祚,えいそ,1,１,己,つちのと,丑,うし,0,
９９０,永祚2,えいそ２,990,永祚,えいそ,2,２,庚,かのえ,寅,とら,0,
９９０,正暦1,しょうりゃく１,990,正暦,しょうりゃく,1,１,庚,かのえ,寅,とら,0,
９９１,正暦2,しょうりゃく２,991,正暦,しょうりゃく,2,２,辛,かのと,卯,うさぎ,,
９９２,正暦3,しょうりゃく３,992,正暦,しょうりゃく,3,３,壬,みずのえ,辰,たつ,,
９９３,正暦4,しょうりゃく４,993,正暦,しょうりゃく,4,４,癸,みずのと,巳,へび,,
９９４,正暦5,しょうりゃく５,994,正暦,しょうりゃく,5,５,甲,きのえ,午,うま,,
９９５,正暦6,しょうりゃく６,995,正暦,しょうりゃく,6,６,乙,きのと,未,ひつじ,0,
９９５,長徳1,ちょうとく１,995,長徳,ちょうとく,1,１,乙,きのと,未,ひつじ,0,
９９６,長徳2,ちょうとく２,996,長徳,ちょうとく,2,２,丙,ひのえ,申,さる,,
９９７,長徳3,ちょうとく３,997,長徳,ちょうとく,3,３,丁,ひのと,酉,とり,,
９９８,長徳4,ちょうとく４,998,長徳,ちょうとく,4,４,戊,つちのえ,戌,いぬ,,
９９９,長徳5,ちょうとく５,999,長徳,ちょうとく,5,５,己,つちのと,亥,いのしし,0,
９９９,長保1,ちょうほう１,999,長保,ちょうほう,1,１,己,つちのと,亥,いのしし,0,
１０００,長保2,ちょうほう２,1000,長保,ちょうほう,2,２,庚,かのえ,子,ねずみ,,
１００１,長保3,ちょうほう３,1001,長保,ちょうほう,3,３,辛,かのと,丑,うし,,
１００２,長保4,ちょうほう４,1002,長保,ちょうほう,4,４,壬,みずのえ,寅,とら,,
１００３,長保5,ちょうほう５,1003,長保,ちょうほう,5,５,癸,みずのと,卯,うさぎ,,
１００４,長保6,ちょうほう６,1004,長保,ちょうほう,6,６,甲,きのえ,辰,たつ,0,
１００４,寛弘1,かんこう１,1004,寛弘,かんこう,1,１,甲,きのえ,辰,たつ,0,
１００５,寛弘2,かんこう２,1005,寛弘,かんこう,2,２,乙,きのと,巳,へび,,
１００６,寛弘3,かんこう３,1006,寛弘,かんこう,3,３,丙,ひのえ,午,うま,,
１００７,寛弘4,かんこう４,1007,寛弘,かんこう,4,４,丁,ひのと,未,ひつじ,,
１００８,寛弘5,かんこう５,1008,寛弘,かんこう,5,５,戊,つちのえ,申,さる,,
１００９,寛弘6,かんこう６,1009,寛弘,かんこう,6,６,己,つちのと,酉,とり,,
１０１０,寛弘7,かんこう７,1010,寛弘,かんこう,7,７,庚,かのえ,戌,いぬ,,
１０１１,寛弘8,かんこう８,1011,寛弘,かんこう,8,８,辛,かのと,亥,いのしし,,
１０１２,寛弘9,かんこう９,1012,寛弘,かんこう,9,９,壬,みずのえ,子,ねずみ,0,
１０１２,長和1,ちょうわ１,1012,長和,ちょうわ,1,１,壬,みずのえ,子,ねずみ,0,
１０１３,長和2,ちょうわ２,1013,長和,ちょうわ,2,２,癸,みずのと,丑,うし,,
１０１４,長和3,ちょうわ３,1014,長和,ちょうわ,3,３,甲,きのえ,寅,とら,,
１０１５,長和4,ちょうわ４,1015,長和,ちょうわ,4,４,乙,きのと,卯,うさぎ,,
１０１６,長和5,ちょうわ５,1016,長和,ちょうわ,5,５,丙,ひのえ,辰,たつ,,
１０１７,長和6,ちょうわ６,1017,長和,ちょうわ,6,６,丁,ひのと,巳,へび,0,
１０１７,寛仁1,かんにん１,1017,寛仁,かんにん,1,１,丁,ひのと,巳,へび,0,
１０１８,寛仁2,かんにん２,1018,寛仁,かんにん,2,２,戊,つちのえ,午,うま,,
１０１９,寛仁3,かんにん３,1019,寛仁,かんにん,3,３,己,つちのと,未,ひつじ,,
１０２０,寛仁4,かんにん４,1020,寛仁,かんにん,4,４,庚,かのえ,申,さる,,
１０２１,寛仁5,かんにん５,1021,寛仁,かんにん,5,５,辛,かのと,酉,とり,0,
１０２１,治安1,じあん１,1021,治安,じあん,1,１,辛,かのと,酉,とり,0,
１０２２,治安2,じあん２,1022,治安,じあん,2,２,壬,みずのえ,戌,いぬ,,
１０２３,治安3,じあん３,1023,治安,じあん,3,３,癸,みずのと,亥,いのしし,,
１０２４,治安4,じあん４,1024,治安,じあん,4,４,甲,きのえ,子,ねずみ,0,
１０２４,万寿1,まんじゅ１,1024,万寿,まんじゅ,1,１,甲,きのえ,子,ねずみ,0,
１０２５,万寿2,まんじゅ２,1025,万寿,まんじゅ,2,２,乙,きのと,丑,うし,,
１０２６,万寿3,まんじゅ３,1026,万寿,まんじゅ,3,３,丙,ひのえ,寅,とら,,
１０２７,万寿4,まんじゅ４,1027,万寿,まんじゅ,4,４,丁,ひのと,卯,うさぎ,,
１０２８,万寿5,まんじゅ５,1028,万寿,まんじゅ,5,５,戊,つちのえ,辰,たつ,0,
１０２８,長元1,ちょうげん１,1028,長元,ちょうげん,1,１,戊,つちのえ,辰,たつ,0,
１０２９,長元2,ちょうげん２,1029,長元,ちょうげん,2,２,己,つちのと,巳,へび,,
１０３０,長元3,ちょうげん３,1030,長元,ちょうげん,3,３,庚,かのえ,午,うま,,
１０３１,長元4,ちょうげん４,1031,長元,ちょうげん,4,４,辛,かのと,未,ひつじ,,
１０３２,長元5,ちょうげん５,1032,長元,ちょうげん,5,５,壬,みずのえ,申,さる,,
１０３３,長元6,ちょうげん６,1033,長元,ちょうげん,6,６,癸,みずのと,酉,とり,,
１０３４,長元7,ちょうげん７,1034,長元,ちょうげん,7,７,甲,きのえ,戌,いぬ,,
１０３５,長元8,ちょうげん８,1035,長元,ちょうげん,8,８,乙,きのと,亥,いのしし,,
１０３６,長元9,ちょうげん９,1036,長元,ちょうげん,9,９,丙,ひのえ,子,ねずみ,,
１０３７,長元10,ちょうげん１０,1037,長元,ちょうげん,10,１０,丁,ひのと,丑,うし,0,
１０３７,長暦1,ちょうりゃく１,1037,長暦,ちょうりゃく,1,１,丁,ひのと,丑,うし,0,
１０３８,長暦2,ちょうりゃく２,1038,長暦,ちょうりゃく,2,２,戊,つちのえ,寅,とら,,
１０３９,長暦3,ちょうりゃく３,1039,長暦,ちょうりゃく,3,３,己,つちのと,卯,うさぎ,,
１０４０,長暦4,ちょうりゃく４,1040,長暦,ちょうりゃく,4,４,庚,かのえ,辰,たつ,0,
１０４０,長久1,ちょうきゅう１,1040,長久,ちょうきゅう,1,１,庚,かのえ,辰,たつ,0,
１０４１,長久2,ちょうきゅう２,1041,長久,ちょうきゅう,2,２,辛,かのと,巳,へび,,
１０４２,長久3,ちょうきゅう３,1042,長久,ちょうきゅう,3,３,壬,みずのえ,午,うま,,
１０４３,長久4,ちょうきゅう４,1043,長久,ちょうきゅう,4,４,癸,みずのと,未,ひつじ,,
１０４４,長久5,ちょうきゅう５,1044,長久,ちょうきゅう,5,５,甲,きのえ,申,さる,0,
１０４４,寛徳1,かんとく１,1044,寛徳,かんとく,1,１,甲,きのえ,申,さる,0,
１０４５,寛徳2,かんとく２,1045,寛徳,かんとく,2,２,乙,きのと,酉,とり,,
１０４６,寛徳3,かんとく３,1046,寛徳,かんとく,3,３,丙,ひのえ,戌,いぬ,0,
１０４６,永承1,えいしょう１,1046,永承,えいしょう,1,１,丙,ひのえ,戌,いぬ,0,
１０４７,永承2,えいしょう２,1047,永承,えいしょう,2,２,丁,ひのと,亥,いのしし,,
１０４８,永承3,えいしょう３,1048,永承,えいしょう,3,３,戊,つちのえ,子,ねずみ,,
１０４９,永承4,えいしょう４,1049,永承,えいしょう,4,４,己,つちのと,丑,うし,,
１０５０,永承5,えいしょう５,1050,永承,えいしょう,5,５,庚,かのえ,寅,とら,,
１０５１,永承6,えいしょう６,1051,永承,えいしょう,6,６,辛,かのと,卯,うさぎ,,
１０５２,永承7,えいしょう７,1052,永承,えいしょう,7,７,壬,みずのえ,辰,たつ,,
１０５３,永承8,えいしょう８,1053,永承,えいしょう,8,８,癸,みずのと,巳,へび,0,
１０５３,天喜1,てんぎ１,1053,天喜,てんぎ,1,１,癸,みずのと,巳,へび,0,
１０５４,天喜2,てんぎ２,1054,天喜,てんぎ,2,２,甲,きのえ,午,うま,,
１０５５,天喜3,てんぎ３,1055,天喜,てんぎ,3,３,乙,きのと,未,ひつじ,,
１０５６,天喜4,てんぎ４,1056,天喜,てんぎ,4,４,丙,ひのえ,申,さる,,
１０５７,天喜5,てんぎ５,1057,天喜,てんぎ,5,５,丁,ひのと,酉,とり,,
１０５８,天喜6,てんぎ６,1058,天喜,てんぎ,6,６,戊,つちのえ,戌,いぬ,0,
１０５８,康平1,こうへい１,1058,康平,こうへい,1,１,戊,つちのえ,戌,いぬ,0,
１０５９,康平2,こうへい２,1059,康平,こうへい,2,２,己,つちのと,亥,いのしし,,
１０６０,康平3,こうへい３,1060,康平,こうへい,3,３,庚,かのえ,子,ねずみ,,
１０６１,康平4,こうへい４,1061,康平,こうへい,4,４,辛,かのと,丑,うし,,
１０６２,康平5,こうへい５,1062,康平,こうへい,5,５,壬,みずのえ,寅,とら,,
１０６３,康平6,こうへい６,1063,康平,こうへい,6,６,癸,みずのと,卯,うさぎ,,
１０６４,康平7,こうへい７,1064,康平,こうへい,7,７,甲,きのえ,辰,たつ,,
１０６５,康平8,こうへい８,1065,康平,こうへい,8,８,乙,きのと,巳,へび,0,
１０６５,治暦1,じりゃく１,1065,治暦,じりゃく,1,１,乙,きのと,巳,へび,0,
１０６６,治暦2,じりゃく２,1066,治暦,じりゃく,2,２,丙,ひのえ,午,うま,,
１０６７,治暦3,じりゃく３,1067,治暦,じりゃく,3,３,丁,ひのと,未,ひつじ,,
１０６８,治暦4,じりゃく４,1068,治暦,じりゃく,4,４,戊,つちのえ,申,さる,,
１０６９,治暦5,じりゃく５,1069,治暦,じりゃく,5,５,己,つちのと,酉,とり,0,
１０６９,延久1,えんきゅう１,1069,延久,えんきゅう,1,１,己,つちのと,酉,とり,0,
１０７０,延久2,えんきゅう２,1070,延久,えんきゅう,2,２,庚,かのえ,戌,いぬ,,
１０７１,延久3,えんきゅう３,1071,延久,えんきゅう,3,３,辛,かのと,亥,いのしし,,
１０７２,延久4,えんきゅう４,1072,延久,えんきゅう,4,４,壬,みずのえ,子,ねずみ,,
１０７３,延久5,えんきゅう５,1073,延久,えんきゅう,5,５,癸,みずのと,丑,うし,,
１０７４,延久6,えんきゅう６,1074,延久,えんきゅう,6,６,甲,きのえ,寅,とら,0,
１０７４,承保1,じょうほう１,1074,承保,じょうほう,1,１,甲,きのえ,寅,とら,0,
１０７５,承保2,じょうほう２,1075,承保,じょうほう,2,２,乙,きのと,卯,うさぎ,,
１０７６,承保3,じょうほう３,1076,承保,じょうほう,3,３,丙,ひのえ,辰,たつ,,
１０７７,承保4,じょうほう４,1077,承保,じょうほう,4,４,丁,ひのと,巳,へび,0,
１０７７,承暦1,じょうりゃく１,1077,承暦,じょうりゃく,1,１,丁,ひのと,巳,へび,0,
１０７８,承暦2,じょうりゃく２,1078,承暦,じょうりゃく,2,２,戊,つちのえ,午,うま,,
１０７９,承暦3,じょうりゃく３,1079,承暦,じょうりゃく,3,３,己,つちのと,未,ひつじ,,
１０８０,承暦4,じょうりゃく４,1080,承暦,じょうりゃく,4,４,庚,かのえ,申,さる,,
１０８１,承暦5,じょうりゃく５,1081,承暦,じょうりゃく,5,５,辛,かのと,酉,とり,0,
１０８１,永保1,えいほう１,1081,永保,えいほう,1,１,辛,かのと,酉,とり,0,
１０８２,永保2,えいほう２,1082,永保,えいほう,2,２,壬,みずのえ,戌,いぬ,,
１０８３,永保3,えいほう３,1083,永保,えいほう,3,３,癸,みずのと,亥,いのしし,,
１０８４,永保4,えいほう４,1084,永保,えいほう,4,４,甲,きのえ,子,ねずみ,0,
１０８４,応徳1,おうとく１,1084,応徳,おうとく,1,１,甲,きのえ,子,ねずみ,0,
１０８５,応徳2,おうとく２,1085,応徳,おうとく,2,２,乙,きのと,丑,うし,,
１０８６,応徳3,おうとく３,1086,応徳,おうとく,3,３,丙,ひのえ,寅,とら,,
１０８７,応徳4,おうとく４,1087,応徳,おうとく,4,４,丁,ひのと,卯,うさぎ,0,
１０８７,寛治1,かんじ１,1087,寛治,かんじ,1,１,丁,ひのと,卯,うさぎ,0,
１０８８,寛治2,かんじ２,1088,寛治,かんじ,2,２,戊,つちのえ,辰,たつ,,
１０８９,寛治3,かんじ３,1089,寛治,かんじ,3,３,己,つちのと,巳,へび,,
１０９０,寛治4,かんじ４,1090,寛治,かんじ,4,４,庚,かのえ,午,うま,,
１０９１,寛治5,かんじ５,1091,寛治,かんじ,5,５,辛,かのと,未,ひつじ,,
１０９２,寛治6,かんじ６,1092,寛治,かんじ,6,６,壬,みずのえ,申,さる,,
１０９３,寛治7,かんじ７,1093,寛治,かんじ,7,７,癸,みずのと,酉,とり,,
１０９４,寛治8,かんじ８,1094,寛治,かんじ,8,８,甲,きのえ,戌,いぬ,0,
１０９４,嘉保1,かほう１,1094,嘉保,かほう,1,１,甲,きのえ,戌,いぬ,0,
１０９５,嘉保2,かほう２,1095,嘉保,かほう,2,２,乙,きのと,亥,いのしし,,
１０９６,嘉保3,かほう３,1096,嘉保,かほう,3,３,丙,ひのえ,子,ねずみ,0,
１０９６,永長1,えいちょう１,1096,永長,えいちょう,1,１,丙,ひのえ,子,ねずみ,0,
１０９７,永長2,えいちょう２,1097,永長,えいちょう,2,２,丁,ひのと,丑,うし,0,
１０９７,承徳1,じょうとく１,1097,承徳,じょうとく,1,１,丁,ひのと,丑,うし,0,
１０９８,承徳2,じょうとく２,1098,承徳,じょうとく,2,２,戊,つちのえ,寅,とら,,
１０９９,承徳3,じょうとく３,1099,承徳,じょうとく,3,３,己,つちのと,卯,うさぎ,0,
１０９９,康和1,こうわ１,1099,康和,こうわ,1,１,己,つちのと,卯,うさぎ,0,
１１００,康和2,こうわ２,1100,康和,こうわ,2,２,庚,かのえ,辰,たつ,,
１１０１,康和3,こうわ３,1101,康和,こうわ,3,３,辛,かのと,巳,へび,,
１１０２,康和4,こうわ４,1102,康和,こうわ,4,４,壬,みずのえ,午,うま,,
１１０３,康和5,こうわ５,1103,康和,こうわ,5,５,癸,みずのと,未,ひつじ,,
１１０４,康和6,こうわ６,1104,康和,こうわ,6,６,甲,きのえ,申,さる,0,
１１０４,長治1,ちょうじ１,1104,長治,ちょうじ,1,１,甲,きのえ,申,さる,0,
１１０５,長治2,ちょうじ２,1105,長治,ちょうじ,2,２,乙,きのと,酉,とり,,
１１０６,長治3,ちょうじ３,1106,長治,ちょうじ,3,３,丙,ひのえ,戌,いぬ,0,
１１０６,嘉祥1,かしょう１,1106,嘉祥,かしょう,1,１,丙,ひのえ,戌,いぬ,0,
１１０７,嘉祥2,かしょう２,1107,嘉祥,かしょう,2,２,丁,ひのと,亥,いのしし,,
１１０８,嘉祥3,かしょう３,1108,嘉祥,かしょう,3,３,戊,つちのえ,子,ねずみ,0,
１１０８,天仁1,てんにん１,1108,天仁,てんにん,1,１,戊,つちのえ,子,ねずみ,0,
１１０９,天仁2,てんにん２,1109,天仁,てんにん,2,２,己,つちのと,丑,うし,,
１１１０,天仁3,てんにん３,1110,天仁,てんにん,3,３,庚,かのえ,寅,とら,0,
１１１０,天永1,てんえい１,1110,天永,てんえい,1,１,庚,かのえ,寅,とら,0,
１１１１,天永2,てんえい２,1111,天永,てんえい,2,２,辛,かのと,卯,うさぎ,,
１１１２,天永3,てんえい３,1112,天永,てんえい,3,３,壬,みずのえ,辰,たつ,,
１１１３,天永4,てんえい４,1113,天永,てんえい,4,４,癸,みずのと,巳,へび,0,
１１１３,永久1,えいきゅう１,1113,永久,えいきゅう,1,１,癸,みずのと,巳,へび,0,
１１１４,永久2,えいきゅう２,1114,永久,えいきゅう,2,２,甲,きのえ,午,うま,,
１１１５,永久3,えいきゅう３,1115,永久,えいきゅう,3,３,乙,きのと,未,ひつじ,,
１１１６,永久4,えいきゅう４,1116,永久,えいきゅう,4,４,丙,ひのえ,申,さる,,
１１１７,永久5,えいきゅう５,1117,永久,えいきゅう,5,５,丁,ひのと,酉,とり,,
１１１８,永久6,えいきゅう６,1118,永久,えいきゅう,6,６,戊,つちのえ,戌,いぬ,0,
１１１８,元永1,げんえい１,1118,元永,げんえい,1,１,戊,つちのえ,戌,いぬ,0,
１１１９,元永2,げんえい２,1119,元永,げんえい,2,２,己,つちのと,亥,いのしし,,
１１２０,元永3,げんえい３,1120,元永,げんえい,3,３,庚,かのえ,子,ねずみ,0,
１１２０,保安1,ほうあん１,1120,保安,ほうあん,1,１,庚,かのえ,子,ねずみ,0,
１１２１,保安2,ほうあん２,1121,保安,ほうあん,2,２,辛,かのと,丑,うし,,
１１２２,保安3,ほうあん３,1122,保安,ほうあん,3,３,壬,みずのえ,寅,とら,,
１１２３,保安4,ほうあん４,1123,保安,ほうあん,4,４,癸,みずのと,卯,うさぎ,,
１１２４,保安5,ほうあん５,1124,保安,ほうあん,5,５,甲,きのえ,辰,たつ,0,
１１２４,天治1,てんじ１,1124,天治,てんじ,1,１,甲,きのえ,辰,たつ,0,
１１２５,天治2,てんじ２,1125,天治,てんじ,2,２,乙,きのと,巳,へび,,
１１２６,天治3,てんじ３,1126,天治,てんじ,3,３,丙,ひのえ,午,うま,0,
１１２６,大治1,だいじ１,1126,大治,だいじ,1,１,丙,ひのえ,午,うま,0,
１１２７,大治2,だいじ２,1127,大治,だいじ,2,２,丁,ひのと,未,ひつじ,,
１１２８,大治3,だいじ３,1128,大治,だいじ,3,３,戊,つちのえ,申,さる,,
１１２９,大治4,だいじ４,1129,大治,だいじ,4,４,己,つちのと,酉,とり,,
１１３０,大治5,だいじ５,1130,大治,だいじ,5,５,庚,かのえ,戌,いぬ,,
１１３１,大治6,だいじ６,1131,大治,だいじ,6,６,辛,かのと,亥,いのしし,0,
１１３１,天承1,てんしょう１,1131,天承,てんしょう,1,１,辛,かのと,亥,いのしし,0,
１１３２,天承2,てんしょう２,1132,天承,てんしょう,2,２,壬,みずのえ,子,ねずみ,0,
１１３２,長承1,ちょうしょう１,1132,長承,ちょうしょう,1,１,壬,みずのえ,子,ねずみ,0,
１１３３,長承2,ちょうしょう２,1133,長承,ちょうしょう,2,２,癸,みずのと,丑,うし,,
１１３４,長承3,ちょうしょう３,1134,長承,ちょうしょう,3,３,甲,きのえ,寅,とら,,
１１３５,長承4,ちょうしょう４,1135,長承,ちょうしょう,4,４,乙,きのと,卯,うさぎ,0,
１１３５,保延1,ほうえん１,1135,保延,ほうえん,1,１,乙,きのと,卯,うさぎ,0,
１１３６,保延2,ほうえん２,1136,保延,ほうえん,2,２,丙,ひのえ,辰,たつ,,
１１３７,保延3,ほうえん３,1137,保延,ほうえん,3,３,丁,ひのと,巳,へび,,
１１３８,保延4,ほうえん４,1138,保延,ほうえん,4,４,戊,つちのえ,午,うま,,
１１３９,保延5,ほうえん５,1139,保延,ほうえん,5,５,己,つちのと,未,ひつじ,,
１１４０,保延6,ほうえん６,1140,保延,ほうえん,6,６,庚,かのえ,申,さる,,
１１４１,保延7,ほうえん７,1141,保延,ほうえん,7,７,辛,かのと,酉,とり,0,
１１４１,永治1,えいじ１,1141,永治,えいじ,1,１,辛,かのと,酉,とり,0,
１１４２,永治2,えいじ２,1142,永治,えいじ,2,２,壬,みずのえ,戌,いぬ,0,
１１４２,康治1,こうじ１,1142,康治,こうじ,1,１,壬,みずのえ,戌,いぬ,0,
１１４３,康治2,こうじ２,1143,康治,こうじ,2,２,癸,みずのと,亥,いのしし,,
１１４４,康治3,こうじ３,1144,康治,こうじ,3,３,甲,きのえ,子,ねずみ,0,
１１４４,天養1,てんよう１,1144,天養,てんよう,1,１,甲,きのえ,子,ねずみ,0,
１１４５,天養2,てんよう２,1145,天養,てんよう,2,２,乙,きのと,丑,うし,0,
１１４５,久安1,きゅうあん１,1145,久安,きゅうあん,1,１,乙,きのと,丑,うし,0,
１１４６,久安2,きゅうあん２,1146,久安,きゅうあん,2,２,丙,ひのえ,寅,とら,,
１１４７,久安3,きゅうあん３,1147,久安,きゅうあん,3,３,丁,ひのと,卯,うさぎ,,
１１４８,久安4,きゅうあん４,1148,久安,きゅうあん,4,４,戊,つちのえ,辰,たつ,,
１１４９,久安5,きゅうあん５,1149,久安,きゅうあん,5,５,己,つちのと,巳,へび,,
１１５０,久安6,きゅうあん６,1150,久安,きゅうあん,6,６,庚,かのえ,午,うま,,
１１５１,久安7,きゅうあん７,1151,久安,きゅうあん,7,７,辛,かのと,未,ひつじ,0,
１１５１,仁平1,にんぴょう１,1151,仁平,にんぴょう,1,１,辛,かのと,未,ひつじ,0,
１１５２,仁平2,にんぴょう２,1152,仁平,にんぴょう,2,２,壬,みずのえ,申,さる,,
１１５３,仁平3,にんぴょう３,1153,仁平,にんぴょう,3,３,癸,みずのと,酉,とり,,
１１５４,仁平4,にんぴょう４,1154,仁平,にんぴょう,4,４,甲,きのえ,戌,いぬ,0,
１１５４,久寿1,きゅうじゅ１,1154,久寿,きゅうじゅ,1,１,甲,きのえ,戌,いぬ,0,
１１５５,久寿2,きゅうじゅ２,1155,久寿,きゅうじゅ,2,２,乙,きのと,亥,いのしし,,
１１５６,久寿3,きゅうじゅ３,1156,久寿,きゅうじゅ,3,３,丙,ひのえ,子,ねずみ,0,
１１５６,保元1,ほうげん１,1156,保元,ほうげん,1,１,丙,ひのえ,子,ねずみ,0,
１１５７,保元2,ほうげん２,1157,保元,ほうげん,2,２,丁,ひのと,丑,うし,,
１１５８,保元3,ほうげん３,1158,保元,ほうげん,3,３,戊,つちのえ,寅,とら,,
１１５９,保元4,ほうげん４,1159,保元,ほうげん,4,４,己,つちのと,卯,うさぎ,0,平治の乱
１１５９,平治1,へいじ１,1159,平治,へいじ,1,１,己,つちのと,卯,うさぎ,0,平治の乱
